student_id,subject,semester,marks,grade,credits,max_marks
S001,Mathematics,Sem1,62,B,3,100
S001,Physics,Sem1,74,B,3,100
S001,Chemistry,Sem1,44,C,4,100
S001,English,Sem1,42,C,4,100
S001,Mathematics,Sem2,66,B,3,100
S001,Physics,Sem2,89,A,3,100
S001,Chemistry,Sem2,89,A,4,100
S001,English,Sem2,63,B,4,100
S002,Mathematics,Sem1,68,B,4,100
S002,Physics,Sem1,64,B,3,100
S002,Chemistry,Sem1,83,A,3,100
S002,English,Sem1,81,A,4,100
S002,Mathematics,Sem2,47,C,3,100
S002,Physics,Sem2,74,B,4,100
S002,Chemistry,Sem2,73,B,3,100
S002,English,Sem2,86,A,3,100
S003,Mathematics,Sem1,93,A,3,100
S003,Physics,Sem1,88,A,3,100
S003,Chemistry,Sem1,59,C,4,100
S003,English,Sem1,83,A,4,100
S003,Mathematics,Sem2,74,B,4,100
S003,Physics,Sem2,92,A,3,100
S003,Chemistry,Sem2,55,C,4,100
S003,English,Sem2,62,B,3,100
S004,Mathematics,Sem1,57,C,3,100
S004,Physics,Sem1,86,A,3,100
S004,Chemistry,Sem1,42,C,4,100
S004,English,Sem1,79,B,3,100
S004,Mathematics,Sem2,55,C,3,100
S004,Physics,Sem2,44,C,3,100
S004,Chemistry,Sem2,78,B,3,100
S004,English,Sem2,68,B,3,100
S005,Mathematics,Sem1,55,C,3,100
S005,Physics,Sem1,65,B,4,100
S005,Chemistry,Sem1,54,C,3,100
S005,English,Sem1,88,A,3,100
S005,Mathematics,Sem2,48,C,4,100
S005,Physics,Sem2,54,C,4,100
S005,Chemistry,Sem2,76,B,4,100
S005,English,Sem2,55,C,4,100
S006,Mathematics,Sem1,49,C,3,100
S006,Physics,Sem1,66,B,4,100
S006,Chemistry,Sem1,57,C,3,100
S006,English,Sem1,75,B,3,100
S006,Mathematics,Sem2,80,A,4,100
S006,Physics,Sem2,75,B,4,100
S006,Chemistry,Sem2,43,C,4,100
S006,English,Sem2,81,A,4,100
S007,Mathematics,Sem1,90,A,4,100
S007,Physics,Sem1,84,A,4,100
S007,Chemistry,Sem1,66,B,3,100
S007,English,Sem1,59,C,4,100
S007,Mathematics,Sem2,51,C,4,100
S007,Physics,Sem2,55,C,3,100
S007,Chemistry,Sem2,59,C,3,100
S007,English,Sem2,91,A,4,100
S008,Mathematics,Sem1,43,C,4,100
S008,Physics,Sem1,66,B,3,100
S008,Chemistry,Sem1,64,B,3,100
S008,English,Sem1,56,C,3,100
S008,Mathematics,Sem2,61,B,3,100
S008,Physics,Sem2,68,B,4,100
S008,Chemistry,Sem2,45,C,3,100
S008,English,Sem2,43,C,4,100
S009,Mathematics,Sem1,64,B,3,100
S009,Physics,Sem1,95,A,3,100
S009,Chemistry,Sem1,52,C,3,100
S009,English,Sem1,70,B,3,100
S009,Mathematics,Sem2,95,A,4,100
S009,Physics,Sem2,59,C,3,100
S009,Chemistry,Sem2,53,C,3,100
S009,English,Sem2,87,A,3,100
S010,Mathematics,Sem1,87,A,4,100
S010,Physics,Sem1,55,C,3,100
S010,Chemistry,Sem1,65,B,3,100
S010,English,Sem1,75,B,4,100
S010,Mathematics,Sem2,89,A,4,100
S010,Physics,Sem2,64,B,4,100
S010,Chemistry,Sem2,74,B,4,100
S010,English,Sem2,59,C,4,100
S011,Mathematics,Sem1,63,B,4,100
S011,Physics,Sem1,69,B,3,100
S011,Chemistry,Sem1,91,A,4,100
S011,English,Sem1,88,A,4,100
S011,Mathematics,Sem2,53,C,4,100
S011,Physics,Sem2,60,B,4,100
S011,Chemistry,Sem2,42,C,3,100
S011,English,Sem2,87,A,3,100
S012,Mathematics,Sem1,41,C,4,100
S012,Physics,Sem1,75,B,4,100
S012,Chemistry,Sem1,58,C,3,100
S012,English,Sem1,52,C,4,100
S012,Mathematics,Sem2,54,C,4,100
S012,Physics,Sem2,76,B,3,100
S012,Chemistry,Sem2,71,B,4,100
S012,English,Sem2,56,C,4,100
S013,Mathematics,Sem1,86,A,4,100
S013,Physics,Sem1,69,B,3,100
S013,Chemistry,Sem1,86,A,4,100
S013,English,Sem1,50,C,3,100
S013,Mathematics,Sem2,86,A,4,100
S013,Physics,Sem2,51,C,3,100
S013,Chemistry,Sem2,73,B,3,100
S013,English,Sem2,93,A,3,100
S014,Mathematics,Sem1,92,A,3,100
S014,Physics,Sem1,88,A,3,100
S014,Chemistry,Sem1,66,B,3,100
S014,English,Sem1,93,A,3,100
S014,Mathematics,Sem2,44,C,3,100
S014,Physics,Sem2,40,C,3,100
S014,Chemistry,Sem2,72,B,4,100
S014,English,Sem2,63,B,3,100
S015,Mathematics,Sem1,79,B,4,100
S015,Physics,Sem1,82,A,4,100
S015,Chemistry,Sem1,41,C,3,100
S015,English,Sem1,74,B,4,100
S015,Mathematics,Sem2,40,C,3,100
S015,Physics,Sem2,73,B,4,100
S015,Chemistry,Sem2,74,B,4,100
S015,English,Sem2,41,C,4,100
S016,Mathematics,Sem1,91,A,3,100
S016,Physics,Sem1,46,C,3,100
S016,Chemistry,Sem1,73,B,3,100
S016,English,Sem1,55,C,3,100
S016,Mathematics,Sem2,79,B,4,100
S016,Physics,Sem2,92,A,4,100
S016,Chemistry,Sem2,57,C,4,100
S016,English,Sem2,45,C,4,100
S017,Mathematics,Sem1,65,B,4,100
S017,Physics,Sem1,76,B,3,100
S017,Chemistry,Sem1,84,A,3,100
S017,English,Sem1,59,C,3,100
S017,Mathematics,Sem2,81,A,3,100
S017,Physics,Sem2,45,C,4,100
S017,Chemistry,Sem2,64,B,4,100
S017,English,Sem2,75,B,4,100
S018,Mathematics,Sem1,43,C,3,100
S018,Physics,Sem1,84,A,3,100
S018,Chemistry,Sem1,45,C,4,100
S018,English,Sem1,94,A,4,100
S018,Mathematics,Sem2,81,A,4,100
S018,Physics,Sem2,76,B,3,100
S018,Chemistry,Sem2,73,B,3,100
S018,English,Sem2,54,C,3,100
S019,Mathematics,Sem1,95,A,4,100
S019,Physics,Sem1,57,C,3,100
S019,Chemistry,Sem1,44,C,4,100
S019,English,Sem1,74,B,3,100
S019,Mathematics,Sem2,51,C,4,100
S019,Physics,Sem2,41,C,3,100
S019,Chemistry,Sem2,77,B,3,100
S019,English,Sem2,88,A,4,100
S020,Mathematics,Sem1,44,C,4,100
S020,Physics,Sem1,50,C,3,100
S020,Chemistry,Sem1,76,B,4,100
S020,English,Sem1,83,A,4,100
S020,Mathematics,Sem2,64,B,3,100
S020,Physics,Sem2,90,A,3,100
S020,Chemistry,Sem2,72,B,4,100
S020,English,Sem2,43,C,3,100
